, Emotion, Text
1589,kesal, Tata usaha kampus STAI Al-Azhary terkadang lambat dalam menanggapi pertanyaan mahasiswa. Saya merasa kesal dengan pelayanannya.
1590,kecewa, Saya merasa kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk dan tidak responsif.
1591,sedih, Proses pengurusan KTM yang rumit membuat saya merasa sedih. Harap dipermudah.
1592,senang, Pelayanan tata usaha kampus STAI Al-Azhary sangat membantu dan efisien. Saya senang dengan pelayanannya.
1593,puas, Saya merasa puas dengan respon cepat dari tata usaha kampus STAI Al-Azhary terkait pertanyaan saya. Terima kasih!
1594,biasa saja, Proses perpanjangan masa studi di tata usaha kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa.
1595,kesal, Tata usaha kampus STAI Al-Azhary terkadang lambat dalam menanggapi pertanyaan mahasiswa. Saya merasa kesal dengan itu.
1596,kecewa, Saya merasa kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang tidak mendukung. Harap lebih baik lagi.
1597,sedih, Tata usaha kampus STAI Al-Azhary tidak memberikan solusi yang memadai untuk masalah administrasi saya. Saya merasa sedih.
1598,puas,Saya sangat senang dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1599,senang,Wah!!! pelayanan tata usaha di kampus STAI Al-Azhary luar biasa sekali! 
1600,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary lumayan cepat. 
1601,kesal,ADuh!!Aduh petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani
1602,kecewa,Saya sangat kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. 
1603,sedih,Saya merasa sedih karena proses administrasi di kampus STAI Al-Azhary begitu sulit. 
1604,senang,Akhirnya semua dokumen administrasi saya di kampus STAI Al-Azhary sudah selesai! 
1605,biasa saja,Proses perpanjangan masa studi di kampus STAI Al-Azhary berjalan tanpa hambatan. 
1606,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif. 
1607,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1608,sedih,Proses pengurusan KTM di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1609,puas,Senang sekali dengan bantuan petugas tata usaha kampus STAI Al-Azhary! 
1610,senang,Pelayanan tata usaha kampus STAI Al-Azhary membuat saya sangat senang! 
1611,biasa saja,Pengurusan KTM di kampus STAI Al-Azhary berjalan dengan biasa saja. 
1612,kesal,Saya merasa kesal karena petugas tata usaha kampus STAI Al-Azhary terlalu lambat. 
1613,kecewa,Pelayanan tata usaha di kampus STAI Al-Azhary mengecewakan. 
1614,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1615,senang,Hore! Pengurusan KTM di kampus STAI Al-Azhary lancar dan cepat! 
1616,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1617,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary biasa saja. 
1618,kesal,Petugas tata usaha di kampus STAI Al-Azhary membuat saya kesal! 
1619,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1620,sedih,Saya merasa sedih karena proses administrasi di kampus STAI Al-Azhary sulit. 
1621,puas,Pelayanan tata usaha kampus STAI Al-Azhary benar-benar memuaskan! 
1622,senang,Saya sangat senang dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1623,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1624,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan menyebabkan saya kesal. 
1625,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1626,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary membuat saya merasa sedih. 
1627,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1628,biasa saja,Proses pengurusan KTM di tata usaha kampus STAI Al-Azhary biasa saja. 
1629,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary yang lambat. 
1630,kecewa,Pelayanan tata usaha di kampus STAI Al-Azhary mengecewakan. 
1631,sedih,Saya merasa sedih karena proses administrasi di kampus STAI Al-Azhary sulit. 
1632,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1633,senang,Hore! Pengurusan KTM di kampus STAI Al-Azhary lancar dan cepat! 
1634,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan tanpa hambatan. 
1635,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1636,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1637,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1638,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1639,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1640,kesal,ADuh!!Aduh petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani
1641,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1642,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1643,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1644,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1645,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1646,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1647,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1648,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1649,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1650,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1651,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1652,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1653,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1654,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1655,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1656,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1657,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1658,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1659,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1660,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1661,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1662,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1663,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1664,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1665,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1666,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1667,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1668,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1669,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1670,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1671,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1672,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1673,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1674,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1675,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1676,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1677,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1678,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1679,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1680,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1681,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1682,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1683,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1684,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1685,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1686,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1687,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1688,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1689,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1690,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1691,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1692,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1693,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1694,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1695,kesal,ADuh!!Aduh petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani
1696,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1697,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1698,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1699,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1700,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1701,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1702,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1703,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1704,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1705,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1706,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1707,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1708,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1709,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1710,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1711,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1712,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1713,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1714,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1715,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1716,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1717,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1718,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1719,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1720,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1721,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1722,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1723,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1724,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1725,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1726,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1727,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1728,kesal,ADuh!! petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani! 
1729,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1730,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1731,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1732,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1733,biasa saja,Proses pengurusan KTM di kampus STAI Al-Azhary berjalan lancar tanpa hambatan. 
1734,kesal,Petugas tata usaha di kampus STAI Al-Azhary tidak responsif dan membuat saya kesal! 
1735,kecewa,Saya sangat kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. 
1736,sedih,Proses perpanjangan masa studi di kampus STAI Al-Azhary menyebabkan saya merasa sedih. 
1737,senang,Senang sekali dengan pelayanan tata usaha kampus STAI Al-Azhary! 
1738,biasa saja,Pengurusan KTM di tata usaha kampus STAI Al-Azhary berjalan dengan biasa saja. 
1739,kesal,Aduh petugas tata usaha kampus STAI Al-Azhary lambat sekali melayani!
1740,kecewa,Saya sangat kecewa dengan layanan tata usaha di kampus STAI Al-Azhary. 
1741,sedih,Sangat sedih dengan proses administrasi yang rumit di kampus STAI Al-Azhary. 
1742,puas,Saya puas dengan pelayanan tata usaha kampus STAI Al-Azhary yang sangat membantu! 
1743,senang,Hore! Proses administrasi di kampus STAI Al-Azhary selesai dengan baik! 
1744,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. Mereka ramah membantu dan cepat dalam melayani.
1745,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu bersedia membantu saya dengan segala kebutuhan saya.
1746,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Mereka tidak terlalu ramah
1747,kesal,Saya kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. 
1748,kecewa,Saya kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak bisa menyelesaikan masalah saya dan malah membuat saya semakin bingung.
1749,sedih,Saya sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak bisa memberikan saya informasi yang dibutuhkan dan malah membuat saya semakin stres.
1750,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1751,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk.
1752,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1753,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1754,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1755,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. Semua proses berjalan dengan lancar dan cepat.
1756,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu ramah dan siap membantu dengan senyum.
1757,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa
1758,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terlalu lambat dalam menanggapi pertanyaan mahasiswa.
1759,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1760,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1761,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat.
1762,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1763,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk.
1764,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1765,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1766,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1767,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat.
1768,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1769,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk.
1770,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1771,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1772,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1773,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1774,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1775,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1776,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1777,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1778,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1779,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1780,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1781,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1782,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1783,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1784,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1785,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1786,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1787,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1788,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1789,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1790,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1791,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1792,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1793,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1794,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1795,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1796,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1797,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1798,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1799,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1800,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1801,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1802,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1803,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1804,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1805,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1806,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1807,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1808,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1809,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1810,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1811,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1812,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1813,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1814,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1815,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sungguh luar biasa. Mereka sangat responsif penuh perhatian dan selalu memberikan solusi dengan cepat. 
1816,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu memberikan layanan yang ramah dan profesional.
1817,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa tetapi juga tidak ada yang buruk. 
1818,kesal,Saya merasa kesal dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka terkesan kurang peduli dengan kebutuhan mahasiswa.
1819,kecewa,Saya merasa kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan solusi yang memuaskan dan terkesan acuh tak acuh.
1820,sedih,Saya merasa sangat sedih dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak memberikan dukungan yang dibutuhkan dan membuat saya merasa sendiri.
1821,puas,Proses administrasi di kampus STAI Al-Azhary berjalan dengan sangat lancar. Semua informasi yang saya butuhkan diberikan dengan jelas dan cepat.
1822,senang,Saya merasa sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka selalu ramah dan membantu dengan sabar mengatasi setiap masalah yang saya hadapi.
1823,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary cukup biasa saja. Tidak ada yang istimewa
1824,kesal,Baru saja mengalami pengalaman yang sangat buruk dengan petugas tata usaha di kampus STAI Al-Azhary. Mereka tidak sopan dan tidak mau mendengarkan keluhan saya.
1825,kecewa,Saya benar-benar kecewa dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak mengurus dokumen saya dengan benar dan membuat saya harus menunggu berhari-hari.
1826,sedih,Saya merasa sangat sedih dan frustrasi dengan pelayanan tata usaha di kampus STAI Al-Azhary. Mereka tidak kompeten dan membuat saya kesulitan mengurus administrasi.
1827,puas,Pelayanan tata usaha di kampus STAI Al-Azhary sangat profesional. Mereka dengan cepat menyelesaikan semua masalah saya dan memberikan solusi yang efektif.
1828,senang,Saya sangat senang dengan pelayanan tata usaha di kampus STAI Al-Azhary. Petugasnya sangat ramah dan membantu dengan sabar menjawab setiap pertanyaan.
1829,biasa saja,Pelayanan tata usaha di kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa
